school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,21,R,LE3,T,2,3,health,other,other,mother,1,0,no,yes,no,yes,yes,no,no,no,2,4,5,2,1,3,4,11,13,13
MS,F,18,U,LE3,T,2,3,health,health,course,mother,1,0,yes,no,no,no,no,no,no,yes,5,2,4,4,3,4,19,16,12,9
GP,F,20,R,GT3,A,1,4,teacher,services,home,other,1,1,yes,no,no,yes,yes,no,no,yes,2,4,1,1,1,5,30,13,14,10
GP,F,17,R,GT3,T,0,1,services,other,course,mother,4,2,no,yes,no,no,no,no,no,no,4,1,5,1,1,4,4,4,20,11
GP,F,21,U,LE3,A,0,1,teacher,health,other,father,1,3,yes,no,no,yes,yes,no,yes,no,2,3,1,1,3,2,19,18,8,8
MS,F,19,U,GT3,A,0,1,health,health,home,other,1,3,yes,no,no,no,yes,yes,no,no,4,3,5,5,2,2,22,4,2,3
GP,M,15,R,GT3,A,2,0,health,at_home,reputation,mother,2,2,no,yes,no,yes,no,no,yes,no,5,2,5,4,4,3,9,14,12,8
GP,F,21,U,GT3,T,3,4,at_home,health,other,father,2,3,yes,no,no,no,no,yes,no,no,1,1,1,4,2,2,16,12,12,9
GP,M,19,U,GT3,T,2,1,other,services,other,father,4,1,yes,no,no,yes,no,no,yes,no,1,4,1,1,3,4,29,16,8,7
MS,M,20,U,LE3,A,3,3,health,services,home,mother,1,1,yes,yes,yes,no,yes,yes,yes,yes,2,3,5,2,3,3,12,0,17,8
GP,F,20,U,GT3,T,1,2,teacher,other,home,father,2,0,yes,yes,no,no,no,yes,no,yes,4,3,5,2,2,4,16,13,4,3
GP,F,15,R,GT3,T,4,2,teacher,other,reputation,other,2,0,no,no,no,no,no,yes,yes,yes,1,3,1,4,3,4,17,3,10,7
GP,M,16,R,LE3,T,3,1,other,health,other,mother,3,0,yes,no,yes,no,no,no,yes,yes,4,3,1,4,1,3,12,8,1,2
GP,F,15,U,LE3,T,0,2,other,teacher,home,father,1,0,no,yes,no,yes,no,yes,yes,no,5,5,2,3,5,5,16,16,16,14
MS,F,18,U,GT3,T,2,2,at_home,at_home,reputation,father,2,0,yes,no,no,no,no,yes,no,no,2,2,2,4,3,2,27,2,19,8
GP,M,21,U,GT3,T,1,0,services,teacher,reputation,mother,4,3,no,yes,yes,no,no,no,no,no,4,4,2,1,3,1,14,12,20,13
MS,M,17,U,GT3,T,0,3,teacher,health,home,mother,3,3,no,yes,yes,yes,yes,yes,no,yes,2,4,4,5,2,1,25,11,3,6
MS,F,16,R,GT3,A,1,3,other,health,other,mother,3,0,yes,yes,no,no,yes,yes,yes,yes,4,2,5,4,1,1,11,15,17,10
MS,M,15,R,LE3,T,4,0,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,no,yes,no,4,1,3,4,2,2,27,3,19,8
GP,F,19,U,LE3,T,2,0,other,at_home,course,other,1,3,no,yes,no,no,yes,yes,yes,yes,5,2,4,1,2,5,9,17,7,10
MS,F,16,U,LE3,T,2,2,health,teacher,reputation,mother,3,1,no,yes,no,no,no,yes,yes,yes,2,3,5,3,3,4,12,2,18,12
GP,F,21,U,GT3,T,4,4,teacher,other,course,other,4,1,no,yes,no,no,no,no,no,no,3,3,3,4,1,3,29,16,11,10
MS,M,16,R,GT3,T,2,2,health,services,course,other,1,2,no,no,yes,no,yes,yes,yes,no,4,2,2,2,3,5,10,0,10,3
MS,M,21,U,GT3,T,3,0,teacher,other,home,mother,1,2,yes,no,no,no,yes,yes,yes,no,4,2,3,2,3,1,2,18,15,12
MS,M,15,R,GT3,T,1,3,services,services,reputation,other,3,0,no,no,no,no,yes,yes,yes,yes,1,4,1,2,3,2,21,3,4,6
MS,M,21,U,LE3,T,0,2,at_home,health,other,mother,3,1,no,yes,yes,yes,no,yes,no,no,2,4,1,5,3,2,9,16,2,3
MS,M,16,R,LE3,A,4,4,health,at_home,reputation,mother,1,3,yes,no,no,yes,no,no,yes,no,3,5,5,5,5,3,10,6,11,8
MS,F,19,U,GT3,T,3,2,other,teacher,home,father,2,2,yes,no,no,no,no,no,no,no,5,5,4,4,4,4,5,1,14,7
MS,F,20,R,LE3,T,0,1,services,at_home,course,mother,1,2,no,yes,no,no,yes,no,no,yes,3,3,2,4,1,5,0,11,15,8
MS,F,16,U,GT3,T,0,2,teacher,teacher,other,father,2,1,yes,yes,no,yes,yes,no,yes,yes,5,5,5,4,5,5,5,4,12,6
GP,F,21,U,GT3,T,4,0,health,other,reputation,other,3,2,yes,no,no,yes,yes,yes,yes,no,3,5,2,5,4,5,4,15,6,3
GP,M,20,U,LE3,A,3,3,teacher,other,course,father,2,2,yes,no,no,no,yes,no,yes,no,3,1,1,4,4,4,6,7,14,9
MS,F,21,R,GT3,A,0,3,teacher,teacher,reputation,other,4,3,yes,yes,yes,no,yes,no,yes,yes,2,2,4,1,4,4,21,7,2,3
MS,M,19,U,GT3,A,0,0,teacher,at_home,other,mother,3,1,yes,no,no,no,no,yes,no,yes,1,4,4,3,5,4,11,12,11,6
MS,F,21,R,LE3,A,3,1,at_home,teacher,reputation,other,1,2,yes,yes,no,no,no,yes,no,no,3,5,1,2,1,3,11,13,7,8
GP,M,15,R,GT3,A,2,0,at_home,health,reputation,other,1,1,no,yes,yes,no,no,yes,no,yes,4,4,3,2,2,2,6,10,11,7
MS,M,17,U,GT3,A,0,2,other,other,reputation,mother,3,2,no,no,no,no,no,no,no,no,4,5,4,1,4,1,1,5,17,8
GP,F,16,U,LE3,A,1,0,health,health,course,other,3,3,yes,no,no,yes,no,yes,no,no,4,5,3,4,2,4,27,15,2,3
GP,F,17,U,GT3,A,3,0,services,other,other,mother,4,1,yes,no,yes,no,yes,yes,no,yes,1,3,2,5,2,2,0,14,11,11
GP,F,21,R,LE3,A,0,1,services,other,other,father,3,2,no,no,yes,no,no,yes,no,no,3,1,4,4,3,4,29,15,20,11
GP,F,19,U,GT3,A,4,2,services,services,course,mother,1,3,yes,yes,yes,yes,yes,no,no,no,5,2,1,4,2,1,22,12,1,0
GP,M,16,R,LE3,A,1,4,teacher,health,course,mother,4,2,no,no,yes,yes,no,no,no,yes,5,2,3,2,3,4,24,11,13,8
MS,F,21,R,LE3,A,0,4,at_home,health,course,other,1,1,yes,no,yes,yes,yes,no,no,no,2,3,2,2,1,2,17,17,13,10
MS,F,20,U,LE3,A,1,3,health,services,home,father,2,2,no,no,yes,yes,yes,no,yes,yes,1,3,2,5,1,3,11,17,3,7
